time,X,Y
0,0.0,0.0
1,-3.0006921062422283,0.28701196622044506
2,-1.748862837019876,-8.331601546074173
3,2.9094637563258736,-4.217636550381603
4,-2.5142421491787275,6.016762908126107
5,-2.8316745539723946,-6.092323828459315
6,-2.6330094215366664,-6.530679280672129
7,0.07434140953138457,-7.0415386820429635
8,1.4597715349046796,1.0088127989578826
9,1.0806030247919618,2.9199403755420583
10,-2.206505408448761,1.968549224637405
11,2.350414021930511,-5.266900496939797
12,2.1967744844484764,3.8338285048669896
13,-1.2064150649462504,3.705049608763204
14,-3.4249647921831987,-2.7482957432132964
15,-3.01749707421341,-8.403570212045397
16,2.1209859943652196,-6.923967561154379
17,-1.4760894847582646,4.951775199169355
18,-1.2010263863659785,-4.4571258785850905
19,-1.0103177217936616,-1.4604107011379241
20,1.1916128544898896,-2.158052441641248
21,-1.1243328196197913,2.9992486610402644
22,-1.2839640824936525,-2.4607317365649726
23,-3.2768754127322626,-1.6220126342336367
24,-1.061757544394521,-7.5917708625658795
25,-1.330659844605896,-1.7783873448561698
26,3.042367987638825,-3.4217457660362225
27,3.2346759201947988,6.100974398023931
28,-1.8420020354406506,7.9391796905346785
29,1.7372425962569418,-6.25786271723249
30,-1.6890338505001103,4.0558521460197365
31,-2.149454817515959,-3.2154470297386233
32,-2.0166957240604764,-6.020009276574715
33,-1.9078870857052999,-5.681868723495217
34,-2.389348352493212,-4.474820777194893
35,-1.6941611322320207,-5.024273675185861
36,1.3021975046387504,-3.75318494237915
37,2.6958267703003242,2.7818595778019857
38,-2.444089233982994,6.492082565138439
39,-0.4640555416893841,-4.3463569172924466
40,2.5841780593661956,-2.075102820555483
41,2.558493394365562,5.281930285492255
42,-2.321070523191375,6.013265004660386
43,2.5005096186805686,-5.336450450247365
44,-3.296037302915418,6.322724729731471
45,2.5558767609600306,-5.8263146188402795
46,-1.7963405574510127,6.130002487335039
47,-1.8426502892076757,-3.5417524889609
48,-3.0951694031233155,-4.34399731570577
49,-1.3070203760622858,-6.2588741113121875
50,3.1415505701635116,-3.9776267407754675
51,-2.694602674543933,6.444171207543106
52,3.0884437736179704,-5.5523819166311545
53,-1.515835996677204,5.619017861138224
54,-1.120537999268234,-3.843728631430153
55,1.8882808500065065,-0.685397619417047
56,2.666306736152965,4.9064038365253495
57,-2.307927541344843,6.238342462248785
58,2.0832309843959873,-5.889115087936392
59,2.9516811579761386,4.693573213705745
60,2.0462247735316716,7.013140195710795
61,1.4564860647639242,5.411699931466067
62,3.2936206955001746,3.3878942867224344
63,2.006575735466569,6.667405681606904
64,-1.8514794817015954,3.443473018433364
65,-3.609646854482447,-5.66802612963233
66,-1.6784259122570295,-7.788980182091219
67,-0.5956578729804087,-3.4089985156757887
68,4.150132361653217,-0.867889841952922
69,3.65907238248848,8.437115241233913
